Plate,Well,Sample Name,Detector,Task,Ct
2,C1,A1-NTP1000 N1,N1 Probe,Unknown,25.638
2,C2,A1-NTP1000 N1,N1 Probe,Unknown,25.8244
2,C3,A2-NTP1000 N1,N1 Probe,Unknown,25.6419
2,C4,A2-NTP1000 N1,N1 Probe,Unknown,26.2272
2,C5,A3-NTP1000 N1,N1 Probe,Unknown,25.5634
2,C6,A3-NTP1000 N1,N1 Probe,Unknown,25.9184
2,C7,B1-NTP1000 N1,N1 Probe,Unknown,34.0023
2,C8,B1-NTP1000 N1,N1 Probe,Unknown,34.4885
2,C9,B2-NTP1000 N1,N1 Probe,Unknown,32.5966
2,C10,B2-NTP1000 N1,N1 Probe,Unknown,34.4524
2,C11,B3-NTP1000 N1,N1 Probe,Unknown,30.7352
2,C12,B3-NTP1000 N1,N1 Probe,Unknown,31.4763
2,D1,A1-NTP.ELU N1,N1 Probe,Unknown,24.5825
2,D2,A1-NTP.ELU N1,N1 Probe,Unknown,25.205
2,D3,A2-NTP.ELU N1,N1 Probe,Unknown,25.7403
2,D4,A2-NTP.ELU N1,N1 Probe,Unknown,25.1757
2,D5,A3-NTP.ELU N1,N1 Probe,Unknown,24.8743
2,D6,A3-NTP.ELU N1,N1 Probe,Unknown,24.5124
2,D7,B1-NTP.ELU N1,N1 Probe,Unknown,30.7971
2,D8,B1-NTP.ELU N1,N1 Probe,Unknown,31.007
2,D9,B2-NTP.ELU N1,N1 Probe,Unknown,33.2782
2,D10,B2-NTP.ELU N1,N1 Probe,Unknown,32.5889
2,D11,B3-NTP.ELU N1,N1 Probe,Unknown,33.8272
2,D12,B3-NTP.ELU N1,N1 Probe,Unknown,35.2178
2,E1,NTC N2,N2 Probe,Unknown,Undetermined
2,E3,NEG.CTRL-NTP1000 N2,N2 Probe,Unknown,Undetermined
2,E5,SD-4-NTP1000 N2,N2 Probe,Unknown,26.0869
2,E6,SD-3-NTP1000 N2,N2 Probe,Unknown,22.608
2,E7,SD-2-NTP1000 N2,N2 Probe,Unknown,20.5741
2,E8,SD-1-NTP1000 N2,N2 Probe,Unknown,24.3626
2,E10,POS.CTRL-NTP1000 N2,N2 Probe,Unknown,23.7495
2,E12,nCoV PC N2,N2 Probe,Unknown,21.144
2,F3,NEG.CTRL-NTP.ELU N2,N2 Probe,Unknown,Undetermined
2,F5,SD-4-NTP.ELU N2,N2 Probe,Unknown,26.5763
2,F6,SD-3-NTP.ELU N2,N2 Probe,Unknown,23.1068
2,F7,SD-2-NTP.ELU N2,N2 Probe,Unknown,19.5086
2,F8,SD-1-NTP.ELU N2,N2 Probe,Unknown,24.9518
2,F10,POS.CTRL-NTP.ELU N2,N2 Probe,Unknown,21.6189
2,G1,A1-NTP1000 N2,N2 Probe,Unknown,26.9604
2,G2,A1-NTP1000 N2,N2 Probe,Unknown,27.2142
2,G3,A2-NTP1000 N2,N2 Probe,Unknown,27.2984
2,G4,A2-NTP1000 N2,N2 Probe,Unknown,27.2497
2,G5,A3-NTP1000 N2,N2 Probe,Unknown,27.2425
2,G6,A3-NTP1000 N2,N2 Probe,Unknown,27.1798
2,G7,B1-NTP1000 N2,N2 Probe,Unknown,33.835
2,G8,B1-NTP1000 N2,N2 Probe,Unknown,35.0505
2,G9,B2-NTP1000 N2,N2 Probe,Unknown,32.2346
2,G10,B2-NTP1000 N2,N2 Probe,Unknown,31.0059
2,G11,B3-NTP1000 N2,N2 Probe,Unknown,34.0433
2,G12,B3-NTP1000 N2,N2 Probe,Unknown,32.3887
2,H1,A1-NTP.ELU N2,N2 Probe,Unknown,22.5711
2,H2,A1-NTP.ELU N2,N2 Probe,Unknown,26.6012
2,H3,A2-NTP.ELU N2,N2 Probe,Unknown,26.0961
2,H4,A2-NTP.ELU N2,N2 Probe,Unknown,26.2295
2,H5,A3-NTP.ELU N2,N2 Probe,Unknown,26.1959
2,H6,A3-NTP.ELU N2,N2 Probe,Unknown,25.9534
2,H7,B1-NTP.ELU N2,N2 Probe,Unknown,32.2481
2,H8,B1-NTP.ELU N2,N2 Probe,Unknown,31.5953
2,H9,B2-NTP.ELU N2,N2 Probe,Unknown,32.7369
2,H10,B2-NTP.ELU N2,N2 Probe,Unknown,33.0041
2,H11,B3-NTP.ELU N2,N2 Probe,Unknown,33.3133
2,H12,B3-NTP.ELU N2,N2 Probe,Unknown,33.0174
