Document Name: 2021.10.06_OAMDi.P2_Plate1.sds 
Plate Type: Standard Curve
User: Administrator

Document Information

Operator: Administrator
Run Date: Wednesday, October 06, 2021 14:56:47
Last Modified: Wednesday, October 06, 2021 16:11:49
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.4.1

Electronic Signatures
No associated Electronic Signatures

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,25.0 °C,2:00,100,,
2,1,50.0 °C,15:00,100,,
3,1,95.0 °C,2:00,100,,
4,45,95.0 °C,0:03,100,,
,,55.0 °C,0:30,100,,
Standard 7500 Mode
Data Collection :  Stage 4 Step 2
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
G7,B1-CDC0300 N2,N2 Probe,Unknown,Undetermined,,,,,,
G8,B1-CDC0300 N2,N2 Probe,Unknown,Undetermined,,,,,,
G9,B2-CDC0300 N2,N2 Probe,Unknown,Undetermined,,,,,,
G10,B2-CDC0300 N2,N2 Probe,Unknown,36.1846,,,,,,
G11,B3-CDC0300 N2,N2 Probe,Unknown,Undetermined,,,,,,
G12,B3-CDC0300 N2,N2 Probe,Unknown,Undetermined,,,,,,
H1,A1-NTP0300 N2,N2 Probe,Unknown,29.6418,0.202,,,,,
H2,A1-NTP0300 N2,N2 Probe,Unknown,29.9274,0.202,,,,,
H3,A2-NTP0300 N2,N2 Probe,Unknown,29.1533,0.244,,,,,
H4,A2-NTP0300 N2,N2 Probe,Unknown,29.4977,0.244,,,,,
H5,A3-NTP0300 N2,N2 Probe,Unknown,29.1709,0.0691,,,,,
H6,A3-NTP0300 N2,N2 Probe,Unknown,29.0732,0.0691,,,,,
H7,B1-NTP0300 N2,N2 Probe,Unknown,Undetermined,,,,,,
H8,B1-NTP0300 N2,N2 Probe,Unknown,Undetermined,,,,,,
H9,B2-NTP0300 N2,N2 Probe,Unknown,Undetermined,,,,,,
H10,B2-NTP0300 N2,N2 Probe,Unknown,35.0181,,,,,,
H11,B3-NTP0300 N2,N2 Probe,Unknown,33.0107,2.06,,,,,
H12,B3-NTP0300 N2,N2 Probe,Unknown,35.9307,2.06,,,,,
